"filename", "language", "YAML", "XML", "JSON", "JSON with Comments", "JavaScript", "TypeScript JSX", "TypeScript", "Markdown", "PostCSS", "MS SQL", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Issue.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1015, 0, 0, 0, 677, 128, 1820
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Organization.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 656, 0, 0, 0, 673, 114, 1443
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Project.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1107, 0, 0, 0, 712, 154, 1973
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Session.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 705, 0, 0, 0, 643, 103, 1451
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/User.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 874, 0, 0, 0, 694, 126, 1694
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/generated/prisma/models/Verification.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 486, 0, 0, 0, 607, 85, 1178
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/api-key.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/auth-client.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/organization.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 9, 51
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/prisma.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 5, 22
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/session.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 8
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/slug.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/lib/utils.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/schemas/auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 8, 37
"/Users/nssanjeev/Development/Halo/apps/dashboard/tsconfig.json", "JSON with Comments", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/nssanjeev/Development/Halo/package.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"/Users/nssanjeev/Development/Halo/packages/config/package.json", "JSON", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/package.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/engine.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 16, 52
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/hypotheses/deployment-regression.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/aggregate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 29, 87
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/anomalies.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/change-detector.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 8, 40
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/changes.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 15, 35
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/correlate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 17, 57
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/hypotheses.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/impact.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 3, 9
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/normalize.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/rank.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/recommend.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/report.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/timeline.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 10, 35
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/pipeline/validate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/deployment-before-error.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 20, 63
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/different-service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 12, 51
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/multiple-errors.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 11, 48
"/Users/nssanjeev/Development/Halo/packages/investigation-engine/src/rules/same-service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 10, 47
