"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "PostCSS", "JavaScript", "YAML", "comment", "blank", "total"
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/dependency-intelligence-client.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/dependency-topology-graph.tsx", "TypeScript JSX", 0, 203, 0, 0, 0, 0, 4, 11, 218
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/multi-signal-timeline-chart.tsx", "TypeScript JSX", 0, 551, 0, 0, 0, 0, 37, 60, 648
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/recurring-pattern-modal.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 1, 7, 55
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/reliability-lab-client.tsx", "TypeScript JSX", 0, -5, 0, 0, 0, 0, 0, 0, -5
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/reliability-posture-view.tsx", "TypeScript JSX", 0, -12, 0, 0, 0, 0, -4, -5, -21
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/reliability-trajectory-chart.tsx", "TypeScript JSX", 0, 411, 0, 0, 0, 0, 30, 45, 486
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/service-inspector-drawer.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 3, 2, 23
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/service-landscape-client.tsx", "TypeScript JSX", 0, -7, 0, 0, 0, 0, 1, -3, -9
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/service-matrix-table.tsx", "TypeScript JSX", 0, -139, 0, 0, 0, 0, 0, -2, -141
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/synchronized-timeline.tsx", "TypeScript JSX", 0, -213, 0, 0, 0, 0, -14, -24, -251
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/dashboards/system-explorer-client.tsx", "TypeScript JSX", 0, 40, 0, 0, 0, 0, 7, 0, 47
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/events/breadcrumbs.tsx", "TypeScript JSX", 0, -3, 0, 0, 0, 0, 0, 0, -3
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/events/event-detail-view.tsx", "TypeScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 7
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/explore/copy-button.tsx", "TypeScript JSX", 0, 35, 0, 0, 0, 0, 1, 6, 42
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/explore/database-attribution-client.tsx", "TypeScript JSX", 0, 229, 0, 0, 0, 0, 7, 15, 251
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/explore/detail-drawer.tsx", "TypeScript JSX", 0, 355, 0, 0, 0, 0, 14, 24, 393
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/explore/empty-state.tsx", "TypeScript JSX", 0, 63, 0, 0, 0, 0, 0, 6, 69
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/explore/error-recipe-client.tsx", "TypeScript JSX", 0, 261, 0, 0, 0, 0, 9, 19, 289
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/explore/evidence-badge.tsx", "TypeScript JSX", 0, 85, 0, 0, 0, 0, 0, 3, 88
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/explore/explore-context-bar.tsx", "TypeScript JSX", 0, 173, 0, 0, 0, 0, 6, 17, 196
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/explore/explore-header.tsx", "TypeScript JSX", 0, 42, 0, 0, 0, 0, 0, 5, 47
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/explore/log-threader-client.tsx", "TypeScript JSX", 0, 222, 0, 0, 0, 0, 7, 19, 248
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/explore/metric-twin-client.tsx", "TypeScript JSX", 0, 329, 0, 0, 0, 0, 11, 20, 360
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/explore/request-reconstruction-client.tsx", "TypeScript JSX", 0, 349, 0, 0, 0, 0, 13, 30, 392
"/Users/nssanjeev/Development/Halo/apps/dashboard/src/components/explore/runtime-fingerprint-client.tsx", "TypeScript JSX", 0, 241, 0, 0, 0, 0, 7, 19, 267
